Name_of_sign,YouTube_link,Same_in_SASL_as_ASL,Can_the_link_be_downloaded,Number_of_Hands_used,,`,`
HUSBAND,www.youtube.com/watch?v=Ag5VPvAe8PA,NOT THE SAME,YES,TWO HANDS,,,
MARRIED,www.youtube.com/watch?v=Ag5VPvAe8PA,NOT THE SAME,YES,TWO HANDS,,,
BOYFRIEND,www.youtube.com/watch?v=Ag5VPvAe8PA,NOT THE SAME,YES,TWO HANDS,,,
BEST FRIEND,www.youtube.com/watch?v=Ag5VPvAe8PA,SAME,YES,ONE HAND,,,
DEAD/DEATH/DIE,www.youtube.com/watch?v=Ag5VPvAe8PA,SAME,YES,TWO HANDS,,,
DOG,www.youtube.com/watch?v=Ag5VPvAe8PA,SAME,YES,ONE HAND,,,
CAT,www.youtube.com/watch?v=Ag5VPvAe8PA,NOT THE SAME,YES,ONE HAND,,,
LIKE,www.youtube.com/watch?v=Ag5VPvAe8PA,SAME,YES,ONE HAND,,,
FINE,www.youtube.com/watch?v=Ag5VPvAe8PA,SAME,YES,ONE HAND,,,
CAN'T,www.youtube.com/watch?v=Ag5VPvAe8PA,NOT THE SAME,YES,TWO HANDS,,,
HOME,www.youtube.com/watch?v=Ag5VPvAe8PA,NOT THE SAME,YES,ONE HAND,,,
WHERE,www.youtube.com/watch?v=Ag5VPvAe8PA,NOT THE SAME,YES,ONE HAND,,,
WHAT (1),www.youtube.com/watch?v=Ag5VPvAe8PA,NOT THE SAME,YES,TWO HANDS,,,
WHAT (2),www.youtube.com/watch?v=Ag5VPvAe8PA,NOT THE SAME,YES,TWO HANDS,,,
SAME-AS,www.youtube.com/watch?v=Ag5VPvAe8PA,SAME,YES,ONE HAND,,,
HOW,www.youtube.com/watch?v=Ag5VPvAe8PA,NOT THE SAME,YES,TWO HANDS,,,
WHEN,www.youtube.com/watch?v=Ag5VPvAe8PA,NOT THE SAME,YES,TWO HANDS,,,
WHY,www.youtube.com/watch?v=Ag5VPvAe8PA,NOT THE SAME,YES,ONE HAND,,,
NAME,www.youtube.com/watch?v=Ag5VPvAe8PA,NOT THE SAME,YES,TWO HANDS,,,
HOUSE,www.youtube.com/watch?v=82jihBbU05w,NOT THE SAME,YES,TWO HANDS,,,
STUDENT,www.youtube.com/watch?v=8O2MPzffkAc,SAME,YES,TWO HANDS,,,
HAT,www.youtube.com/watch?v=M2pI7j5-mR0,NOT THE SAME,YES,ONE HAND,,,
CABINET,www.youtube.com/watch?v=aqzycauL47c,SAME,YES,TWO HANDS,,,
thin (as in thin face),www.youtube.com/watch?v=QMfCqjDTFxo,NOT THE SAME,YES,ONE HAND,,,
thin (as in thin face),www.youtube.com/watch?v=QMfCqjDTFxo,NOT THE SAME,YES,ONE HAND,,,
thin (as in thin face),www.youtube.com/watch?v=QMfCqjDTFxo,NOT THE SAME,YES,ONE HAND,,,
born,www.youtube.com/watch?v=JrG4W6jDNTI,SOMEWHAT THE SAME,YES,TWO HANDS,,,
so so,www.youtube.com/watch?v=JSdb7YRT6tc,NOT THE SAME,YES,ONE HAND,,,
Favorite,www.youtube.com/watch?v=iC2xl3sT8Fk,,NO,,,,
hair,www.youtube.com/watch?v=b-2VQ1NkUKw,SAME,YES,ONE HAND,,,
pillow,www.youtube.com/watch?v=ccozNLMxjOw,SAME,YES,TWO HANDS,,,
ireland (indigenous),www.youtube.com/watch?v=uuFu8-irQ7M,NOT THE SAME,YES,ONE HAND,,,
TEACHER,www.youtube.com/watch?v=CrUCwJklAUA,NOT THE SAME,YES,TWO HANDS,,,
saturday,www.youtube.com/watch?v=7x_dWF2LTjY,NOT THE SAME,YES,ONE HAND,,,
bicycle (bike ),www.youtube.com/watch?v=WI5hjFiGyp4,SAME,YES,TWO HANDS,,,
bicycle (bike ),www.youtube.com/watch?v=WI5hjFiGyp4,SAME,YES,TWO HANDS,,,
FUTURE-[general-sign],www.youtube.com/watch?v=RMUZFdu6VtI,SOMEWHAT THE SAME,YES,ONE HAND,,,
DON'T WANT,www.youtube.com/watch?v=fN8SjVa3WAY,NOT THE SAME,YES,TWO HANDS,,,
police officer,www.youtube.com/watch?v=O9daYIHyDd4,NOT THE SAME,YES,ONE HAND,,,
BEAUTIFUL,www.youtube.com/watch?v=XVbehHoPfdM,SAME,YES,ONE HAND,,,
LOVE,www.youtube.com/watch?v=0Cau9Wv8iRU,SAME,YES,TWO HANDS,,,
Grandpa,www.youtube.com/watch?v=oxEzSiIfcR0,,NO,,,,
11,www.youtube.com/watch?v=yek0KhaAUrI,NOT THE SAME,YES,ONE HAND,,,
11,www.youtube.com/watch?v=yek0KhaAUrI,NOT THE SAME,YES,ONE HAND,,,
11,www.youtube.com/watch?v=yek0KhaAUrI,NOT THE SAME,YES,ONE HAND,,,
12,www.youtube.com/watch?v=yek0KhaAUrI,NOT THE SAME,YES,ONE HAND,,,
12,www.youtube.com/watch?v=yek0KhaAUrI,NOT THE SAME,YES,ONE HAND,,,
13,www.youtube.com/watch?v=yek0KhaAUrI,NOT THE SAME,YES,ONE HAND,,,
13,www.youtube.com/watch?v=yek0KhaAUrI,NOT THE SAME,YES,ONE HAND,,,
14,www.youtube.com/watch?v=yek0KhaAUrI,NOT THE SAME,YES,ONE HAND,,,
14,www.youtube.com/watch?v=yek0KhaAUrI,NOT THE SAME,YES,ONE HAND,,,
15,www.youtube.com/watch?v=yek0KhaAUrI,NOT THE SAME,YES,ONE HAND,,,
15,www.youtube.com/watch?v=yek0KhaAUrI,NOT THE SAME,YES,ONE HAND,,,
16,www.youtube.com/watch?v=yek0KhaAUrI,NOT THE SAME,YES,ONE HAND,,,
16,www.youtube.com/watch?v=yek0KhaAUrI,NOT THE SAME,YES,ONE HAND,,,
17,www.youtube.com/watch?v=yek0KhaAUrI,NOT THE SAME,YES,ONE HAND,,,
18,www.youtube.com/watch?v=yek0KhaAUrI,NOT THE SAME,YES,ONE HAND,,,
19,www.youtube.com/watch?v=yek0KhaAUrI,NOT THE SAME,YES,ONE HAND,,,
20,www.youtube.com/watch?v=yek0KhaAUrI,NOT THE SAME,YES,ONE HAND,,,
20,www.youtube.com/watch?v=yek0KhaAUrI,NOT THE SAME,YES,ONE HAND,,,
restaurant,www.youtube.com/watch?v=igiZvzSim8M,NOT THE SAME,YES,ONE HAND,,,
iraq,www.youtube.com/watch?v=cIfIvpNlSJ0,SAME,YES,TWO HANDS,,,
Red,www.youtube.com/watch?v=B2MuRVFAn6w,SAME,YES,ONE HAND,,,
Green,www.youtube.com/watch?v=B2MuRVFAn6w,NOT THE SAME,YES,ONE HAND,,,
Brown,www.youtube.com/watch?v=B2MuRVFAn6w,NOT THE SAME,YES,ONE HAND,,,
Gray,www.youtube.com/watch?v=B2MuRVFAn6w,NOT THE SAME,YES,TWO HANDS,,,
Orange,www.youtube.com/watch?v=B2MuRVFAn6w,SAME,YES,ONE HAND,,,
Orange,www.youtube.com/watch?v=B2MuRVFAn6w,SAME,YES,ONE HAND,,,
Hair,www.youtube.com/watch?v=B2MuRVFAn6w,SAME,YES,ONE HAND,,,
Eyes,www.youtube.com/watch?v=B2MuRVFAn6w,SAME,YES,ONE HAND,,,
Nose,www.youtube.com/watch?v=B2MuRVFAn6w,SAME,YES,ONE HAND,,,
Ears,www.youtube.com/watch?v=B2MuRVFAn6w,SAME,YES,ONE HAND,,,
Beard,www.youtube.com/watch?v=B2MuRVFAn6w,SAME,YES,TWO HANDS,,,
Appearance (2 ways),www.youtube.com/watch?v=B2MuRVFAn6w,SAME,YES,ONE HAND,,,
See (different man Look),www.youtube.com/watch?v=B2MuRVFAn6w,SAME,YES,ONE HAND,,,
EARN-[cream-version],www.youtube.com/watch?v=ejCU3dKZ7tY,SAME,YES,TWO HANDS,,,
mom,www.youtube.com/watch?v=KHJjHjG-8JU&t=109s,NOT THE SAME,YES,ONE HAND,,,
dad,www.youtube.com/watch?v=KHJjHjG-8JU&t=109s,NOT THE SAME,YES,ONE HAND,,,
dad,www.youtube.com/watch?v=KHJjHjG-8JU&t=109s,NOT THE SAME,YES,ONE HAND,,,
sister,www.youtube.com/watch?v=KHJjHjG-8JU&t=109s,NOT THE SAME,YES,TWO HANDS,,,
sister,www.youtube.com/watch?v=KHJjHjG-8JU&t=109s,NOT THE SAME,YES,TWO HANDS,,,
brother,www.youtube.com/watch?v=KHJjHjG-8JU&t=109s,NOT THE SAME,YES,TWO HANDS,,,
brother,www.youtube.com/watch?v=KHJjHjG-8JU&t=109s,NOT THE SAME,YES,TWO HANDS,,,
baby,www.youtube.com/watch?v=KHJjHjG-8JU&t=109s,SAME,YES,TWO HANDS,,,
baby,www.youtube.com/watch?v=KHJjHjG-8JU&t=109s,SAME,YES,TWO HANDS,,,
friends,www.youtube.com/watch?v=KHJjHjG-8JU&t=109s,NOT THE SAME,YES,TWO HANDS,,,
friends,www.youtube.com/watch?v=KHJjHjG-8JU&t=109s,NOT THE SAME,YES,TWO HANDS,,,
dog,www.youtube.com/watch?v=KHJjHjG-8JU&t=109s,SAME,YES,ONE HAND,,,
dog,www.youtube.com/watch?v=KHJjHjG-8JU&t=109s,SAME,YES,ONE HAND,,,
cat,www.youtube.com/watch?v=KHJjHjG-8JU&t=109s,NOT THE SAME,YES,ONE HAND,,,
cat,www.youtube.com/watch?v=KHJjHjG-8JU&t=109s,NOT THE SAME,YES,ONE HAND,,,
girl\n(female),www.youtube.com/watch?v=KHJjHjG-8JU&t=109s,NOT THE SAME,YES,ONE HAND,,,
boy\n(male),www.youtube.com/watch?v=KHJjHjG-8JU&t=109s,NOT THE SAME,YES,ONE HAND,,,
boy\n(male),www.youtube.com/watch?v=KHJjHjG-8JU&t=109s,NOT THE SAME,YES,ONE HAND,,,
pets,www.youtube.com/watch?v=KHJjHjG-8JU&t=109s,SAME,YES,TWO HANDS,,,
pets,www.youtube.com/watch?v=KHJjHjG-8JU&t=109s,SAME,YES,TWO HANDS,,,
grandma,www.youtube.com/watch?v=KHJjHjG-8JU&t=109s,NOT THE SAME,YES,ONE HAND,,,
grandma,www.youtube.com/watch?v=KHJjHjG-8JU&t=109s,NOT THE SAME,YES,ONE HAND,,,
grandpa,www.youtube.com/watch?v=KHJjHjG-8JU&t=109s,NOT THE SAME,YES,ONE HAND,,,
grandpa,www.youtube.com/watch?v=KHJjHjG-8JU&t=109s,NOT THE SAME,YES,ONE HAND,,,
cousin,www.youtube.com/watch?v=KHJjHjG-8JU&t=109s,NOT THE SAME,YES,ONE HAND,,,
cousin,www.youtube.com/watch?v=KHJjHjG-8JU&t=109s,NOT THE SAME,YES,ONE HAND,,,
uncle,www.youtube.com/watch?v=KHJjHjG-8JU&t=109s,NOT THE SAME,YES,ONE HAND,,,
uncle,www.youtube.com/watch?v=KHJjHjG-8JU&t=109s,NOT THE SAME,YES,ONE HAND,,,
aunt,www.youtube.com/watch?v=KHJjHjG-8JU&t=109s,NOT THE SAME,YES,ONE HAND,,,
aunt,www.youtube.com/watch?v=KHJjHjG-8JU&t=109s,NOT THE SAME,YES,ONE HAND,,,
i love you,www.youtube.com/watch?v=KHJjHjG-8JU&t=109s,SAME,YES,ONE HAND,,,
i love you,www.youtube.com/watch?v=KHJjHjG-8JU&t=109s,SAME,YES,ONE HAND,,,
family,www.youtube.com/watch?v=KHJjHjG-8JU&t=109s,SAME,YES,TWO HANDS,,,
family,www.youtube.com/watch?v=KHJjHjG-8JU&t=109s,SAME,YES,TWO HANDS,,,
Bird,www.youtube.com/watch?v=6PrrP_W_960,SOMEWHAT THE SAME,YES,TWO HANDS,,,
GRAPES,www.youtube.com/watch?v=NZ68mfHiZa8,NOT THE SAME,YES,TWO HANDS,,,
SOMETIMES,www.youtube.com/watch?v=-DBgGccU79A,NOT THE SAME,YES,TWO HANDS,,,
WEATHER-[twist-version],www.youtube.com/watch?v=NOcMCP5hyqo,NOT THE SAME,YES,TWO HANDS,,,
gum,www.youtube.com/watch?v=7dNuyDz2YaY,NOT THE SAME,YES,ONE HAND,,,
DIE (two hand version),www.youtube.com/watch?v=ghY_NR1ylcQ,SAME,YES,TWO HANDS,,,
cookie,www.youtube.com/watch?v=fFFS7uzM_40,SAME,YES,TWO HANDS,,,
cookie,www.youtube.com/watch?v=fFFS7uzM_40,SAME,YES,TWO HANDS,,,
socks,www.youtube.com/watch?v=L7lJWThl5zg,SAME,YES,TWO HANDS,,,
Kitchen (or kitchen),www.youtube.com/watch?v=D9wjtk3SKFM,NOT THE SAME,YES,TWO HANDS,,,
Plate,www.youtube.com/watch?v=D9wjtk3SKFM,SOMEWHAT THE SAME,YES,TWO HANDS,,,
Knife,www.youtube.com/watch?v=D9wjtk3SKFM,NOT THE SAME,YES,TWO HANDS,,,
Spoon,www.youtube.com/watch?v=D9wjtk3SKFM,NOT THE SAME,YES,TWO HANDS,,,
Cup,www.youtube.com/watch?v=D9wjtk3SKFM,SAME,YES,TWO HANDS,,,
Meat,www.youtube.com/watch?v=D9wjtk3SKFM,SOMEWHAT THE SAME,YES,TWO HANDS,,,
Bread,www.youtube.com/watch?v=D9wjtk3SKFM,NOT THE SAME,YES,TWO HANDS,,,
Vegetables (or vegetables),www.youtube.com/watch?v=D9wjtk3SKFM,SOMEWHAT THE SAME,YES,ONE HAND,,,
Apple,www.youtube.com/watch?v=D9wjtk3SKFM,NOT THE SAME,YES,ONE HAND,,,
Banana,www.youtube.com/watch?v=D9wjtk3SKFM,SOMEWHAT THE SAME,YES,TWO HANDS,,,
Sandwich (or sandwich),www.youtube.com/watch?v=D9wjtk3SKFM,NOT THE SAME,YES,TWO HANDS,,,
Butter,www.youtube.com/watch?v=D9wjtk3SKFM,SAME,YES,TWO HANDS,,,
Salad,www.youtube.com/watch?v=D9wjtk3SKFM,SAME,YES,TWO HANDS,,,
Cereal,www.youtube.com/watch?v=D9wjtk3SKFM,NOT THE SAME,YES,ONE HAND,,,
Chocolate,www.youtube.com/watch?v=D9wjtk3SKFM,NOT THE SAME,YES,TWO HANDS,,,
Cake,www.youtube.com/watch?v=D9wjtk3SKFM,NOT THE SAME,YES,TWO HANDS,,,
juice (or juice),www.youtube.com/watch?v=D9wjtk3SKFM,SAME,YES,ONE HAND,,,
Milk,www.youtube.com/watch?v=D9wjtk3SKFM,NOT THE SAME,YES,ONE HAND,,,
Cheese,www.youtube.com/watch?v=D9wjtk3SKFM,NOT THE SAME,YES,TWO HANDS,,,
Hamburger,www.youtube.com/watch?v=D9wjtk3SKFM,NOT THE SAME,YES,TWO HANDS,,,
French Fries,www.youtube.com/watch?v=D9wjtk3SKFM,NOT THE SAME,YES,ONE HAND,,,
Ketchup,www.youtube.com/watch?v=D9wjtk3SKFM,NOT THE SAME,YES,ONE HAND,,,
eat,www.youtube.com/watch?v=Gh3mZxIjKFE,SAME,YES,ONE HAND,,,
PREGNANT-[late-stage-of-pregnancy],www.youtube.com/watch?v=h5taRMjdtlA,SAME,YES,ONE HAND,,,
i understand,www.youtube.com/watch?v=0rvt_d1tXJk,SOMEWHAT THE SAME,YES,ONE HAND,,,
SKIRT,www.youtube.com/watch?v=Pw_zY1ET0FI,SAME,YES,TWO HANDS,,,
Hello,www.youtube.com/watch?v=gU5EI_ZTzxw,SAME,YES,ONE HAND,,,
One,www.youtube.com/watch?v=gU5EI_ZTzxw,SOMEWHAT THE SAME,YES,ONE HAND,,,
Two,www.youtube.com/watch?v=gU5EI_ZTzxw,SOMEWHAT THE SAME,YES,ONE HAND,,,
Three,www.youtube.com/watch?v=gU5EI_ZTzxw,NOT THE SAME,YES,ONE HAND,,,
Four,www.youtube.com/watch?v=gU5EI_ZTzxw,SOMEWHAT THE SAME,YES,ONE HAND,,,
Five,www.youtube.com/watch?v=gU5EI_ZTzxw,SOMEWHAT THE SAME,YES,ONE HAND,,,
Six,www.youtube.com/watch?v=gU5EI_ZTzxw,NOT THE SAME,YES,ONE HAND,,,
Seven,www.youtube.com/watch?v=gU5EI_ZTzxw,NOT THE SAME,YES,ONE HAND,,,
Nine,www.youtube.com/watch?v=gU5EI_ZTzxw,NOT THE SAME,YES,ONE HAND,,,
Again,www.youtube.com/watch?v=gU5EI_ZTzxw,NOT THE SAME,YES,TWO HANDS,,,
One,www.youtube.com/watch?v=gU5EI_ZTzxw,SOMEWHAT THE SAME,YES,ONE HAND,,,
Two,www.youtube.com/watch?v=gU5EI_ZTzxw,SOMEWHAT THE SAME,YES,ONE HAND,,,
Three,www.youtube.com/watch?v=gU5EI_ZTzxw,SOMEWHAT THE SAME,YES,ONE HAND,,,
Six,www.youtube.com/watch?v=gU5EI_ZTzxw,NOT THE SAME,YES,ONE HAND,,,
Seven,www.youtube.com/watch?v=gU5EI_ZTzxw,NOT THE SAME,YES,ONE HAND,,,
22,www.youtube.com/watch?v=jj9yhhGaaZc,NOT THE SAME,YES,ONE HAND,,,
Excuse me,www.youtube.com/watch?v=GCMo9e9GOWs,NOT THE SAME,YES,TWO HANDS,,,
Number(s),www.youtube.com/watch?v=GCMo9e9GOWs,NOT THE SAME,YES,TWO HANDS,,,
One,www.youtube.com/watch?v=GCMo9e9GOWs,SAME,YES,ONE HAND,,,
Two,www.youtube.com/watch?v=GCMo9e9GOWs,SAME,YES,ONE HAND,,,
Three,www.youtube.com/watch?v=GCMo9e9GOWs,NOT THE SAME,YES,ONE HAND,,,
Four,www.youtube.com/watch?v=GCMo9e9GOWs,SAME,YES,ONE HAND,,,
Five,www.youtube.com/watch?v=GCMo9e9GOWs,SAME,YES,ONE HAND,,,
Six,www.youtube.com/watch?v=GCMo9e9GOWs,NOT THE SAME,YES,ONE HAND,,,
Seven,www.youtube.com/watch?v=GCMo9e9GOWs,NOT THE SAME,YES,ONE HAND,,,
Eight,www.youtube.com/watch?v=GCMo9e9GOWs,NOT THE SAME,YES,ONE HAND,,,
Nine,www.youtube.com/watch?v=GCMo9e9GOWs,NOT THE SAME,YES,ONE HAND,,,
Ten,www.youtube.com/watch?v=GCMo9e9GOWs,NOT THE SAME,YES,ONE HAND,,,
Who?,www.youtube.com/watch?v=GCMo9e9GOWs,NOT THE SAME,YES,ONE HAND,,,
What?,www.youtube.com/watch?v=GCMo9e9GOWs,NOT THE SAME,YES,TWO HANDS,,,
When?,www.youtube.com/watch?v=GCMo9e9GOWs,NOT THE SAME,YES,TWO HANDS,,,
Where?,www.youtube.com/watch?v=GCMo9e9GOWs,NOT THE SAME,YES,ONE HAND,,,
or Why? #2,www.youtube.com/watch?v=GCMo9e9GOWs,NOT THE SAME,YES,ONE HAND,,,
Which?,www.youtube.com/watch?v=GCMo9e9GOWs,NOT THE SAME,YES,TWO HANDS,,,
(How) Many?,www.youtube.com/watch?v=GCMo9e9GOWs,SOMEWHAT THE SAME,YES,TWO HANDS,,,
grandpa,www.youtube.com/watch?v=plhx8kUjvxA,NOT THE SAME,YES,ONE HAND,,,
HELLO,www.youtube.com/watch?v=RRzbB2rg4VM,SAME,YES,ONE HAND,,,
BELIEVE,www.youtube.com/watch?v=6jjPIk3O0q4,NOT THE SAME,YES,TWO HANDS,,,
MALE/MAN,www.youtube.com/watch?v=6jjPIk3O0q4,NOT THE SAME,YES,ONE HAND,,,
WOMAN/FEMALE,www.youtube.com/watch?v=6jjPIk3O0q4,NOT THE SAME,YES,ONE HAND,,,
BOY,www.youtube.com/watch?v=6jjPIk3O0q4,NOT THE SAME,YES,ONE HAND,,,
GIRL,www.youtube.com/watch?v=6jjPIk3O0q4,NOT THE SAME,YES,ONE HAND,,,
SOCKS,www.youtube.com/watch?v=6jjPIk3O0q4,NOT THE SAME,YES,TWO HANDS,,,
BOOTS,www.youtube.com/watch?v=6jjPIk3O0q4,NOT THE SAME,YES,TWO HANDS,,,
APPLE,www.youtube.com/watch?v=6jjPIk3O0q4,NOT THE SAME,YES,ONE HAND,,,
CANDY,www.youtube.com/watch?v=6jjPIk3O0q4,SAME,YES,ONE HAND,,,
DESCRIBE/EXPLAIN,www.youtube.com/watch?v=6jjPIk3O0q4,SAME,YES,TWO HANDS,,,
IMPORTANT/CRUCIAL,www.youtube.com/watch?v=6jjPIk3O0q4,NOT THE SAME,YES,TWO HANDS,,,
LISTEN,www.youtube.com/watch?v=6jjPIk3O0q4,SOMEWHAT THE SAME,YES,ONE HAND,,,
FOLLOW,www.youtube.com/watch?v=6jjPIk3O0q4,SAME,YES,TWO HANDS,,,
TREE,www.youtube.com/watch?v=6jjPIk3O0q4,SAME,YES,TWO HANDS,,,
BECOME,www.youtube.com/watch?v=6jjPIk3O0q4,SOMEWHAT THE SAME,YES,TWO HANDS,,,
REAL/TRUE,www.youtube.com/watch?v=6jjPIk3O0q4,NOT THE SAME,YES,ONE HAND,,,
MATCH,www.youtube.com/watch?v=6jjPIk3O0q4,SAME,YES,TWO HANDS,,,
BACKPACK (1),www.youtube.com/watch?v=6jjPIk3O0q4,SAME,YES,TWO HANDS,,,
USE,www.youtube.com/watch?v=6jjPIk3O0q4,NOT THE SAME,YES,ONE HAND,,,
LATE,www.youtube.com/watch?v=6jjPIk3O0q4,NOT THE SAME,YES,ONE HAND,,,
NOT-YET,www.youtube.com/watch?v=6jjPIk3O0q4,SAME,YES,ONE HAND,,,
TAKE CARE,www.youtube.com/watch?v=6jjPIk3O0q4,NOT THE SAME,YES,TWO HANDS,,,
COLLEGE,www.youtube.com/watch?v=6jjPIk3O0q4,NOT THE SAME,YES,TWO HANDS,,,
UNIVERSITY,www.youtube.com/watch?v=6jjPIk3O0q4,NOT THE SAME,YES,TWO HANDS,,,
FULL,www.youtube.com/watch?v=6jjPIk3O0q4,SAME,YES,TWO HANDS,,,
TODAY,www.youtube.com/watch?v=6jjPIk3O0q4,SAME,YES,TWO HANDS,,,
TOMORROW,www.youtube.com/watch?v=6jjPIk3O0q4,SAME,YES,ONE HAND,,,
YESTERDAY (2),www.youtube.com/watch?v=6jjPIk3O0q4,NOT THE SAME,YES,ONE HAND,,,
LONG AGO,www.youtube.com/watch?v=6jjPIk3O0q4,SAME,YES,ONE HAND,,,
FUTURE,www.youtube.com/watch?v=6jjPIk3O0q4,SAME,YES,ONE HAND,,,
TOTAL / ALTOGETHER,www.youtube.com/watch?v=6jjPIk3O0q4,SAME,YES,TWO HANDS,,,
DEAD/DEATH/DIE,www.youtube.com/watch?v=6jjPIk3O0q4,SAME,YES,TWO HANDS,,,
LIVE,www.youtube.com/watch?v=6jjPIk3O0q4,NOT THE SAME,YES,TWO HANDS,,,
STAY,www.youtube.com/watch?v=6jjPIk3O0q4,SOMEWHAT THE SAME,YES,TWO HANDS,,,
MONEY,www.youtube.com/watch?v=6jjPIk3O0q4,NOT THE SAME,YES,TWO HANDS,,,
BUY,www.youtube.com/watch?v=6jjPIk3O0q4,SAME,YES,TWO HANDS,,,
NEPHEW,www.youtube.com/watch?v=6jjPIk3O0q4,NOT THE SAME,YES,ONE HAND,,,
NEICE,www.youtube.com/watch?v=6jjPIk3O0q4,NOT THE SAME,YES,ONE HAND,,,
COUSIN,www.youtube.com/watch?v=6jjPIk3O0q4,NOT THE SAME,YES,ONE HAND,,,
THIN,www.youtube.com/watch?v=6jjPIk3O0q4,NOT THE SAME,YES,ONE HAND,,,
FAT / OBESE (l),www.youtube.com/watch?v=6jjPIk3O0q4,SAME,YES,TWO HANDS,,,
FAT / OBESE (2),www.youtube.com/watch?v=6jjPIk3O0q4,SAME,YES,TWO HANDS,,,
FAT /OBESE (3),www.youtube.com/watch?v=6jjPIk3O0q4,SAME,YES,TWO HANDS,,,
remember,www.youtube.com/watch?v=z8WID-eqF9M,,NO,,,,
remember,www.youtube.com/watch?v=z8WID-eqF9M,,NO,,,,
book,www.youtube.com/watch?v=TSecJl0vg8Q,SAME,YES,TWO HANDS,,,
GOVERNMENT,www.youtube.com/watch?v=7rNc7XE-erQ,NOT THE SAME,YES,ONE HAND,,,
yes,www.youtube.com/watch?v=yq5jgmkYOBo,SAME,YES,ONE HAND,,,
22,www.youtube.com/watch?v=VSRUlHlSTQ4,NOT THE SAME,YES,ONE HAND,,,
22,www.youtube.com/watch?v=VSRUlHlSTQ4,NOT THE SAME,YES,ONE HAND,,,
sunday,www.youtube.com/watch?v=ppl7-QS-HYM,NOT THE SAME,YES,TWO HANDS,,,
chicken,www.youtube.com/watch?v=VktVoccubws,SAME,YES,TWO HANDS,,,
you,www.youtube.com/watch?v=N_diLpBj6T4,SAME,YES,ONE HAND,,,
Don't Understand,www.youtube.com/watch?v=Xs-mxDqdS8w,NOT THE SAME,YES,ONE HAND,,,
cereal,www.youtube.com/watch?v=DvYIRf4h0H0,SOMEWHAT THE SAME,YES,TWO HANDS,,,
shoes,www.youtube.com/watch?v=YwrAGAhbEoc,NOT THE SAME,YES,TWO HANDS,,,
I AM,www.youtube.com/watch?v=167KkvdyE5c,SAME,YES,ONE HAND,,,
WE ARE,www.youtube.com/watch?v=167KkvdyE5c,SAME,YES,ONE HAND,,,
PHOTOGRAPHER,www.youtube.com/watch?v=4okc4a2cmoE,SAME,YES,TWO HANDS,,,
Who,www.youtube.com/watch?v=_ZlZH4b0C44,NOT THE SAME,YES,ONE HAND,,,
Feel,www.youtube.com/watch?v=_ZlZH4b0C44,NOT THE SAME,YES,ONE HAND,,,
Pain,www.youtube.com/watch?v=_ZlZH4b0C44,NOT THE SAME,YES,ONE HAND,,,
Hurt,www.youtube.com/watch?v=_ZlZH4b0C44,NOT THE SAME,YES,ONE HAND,,,
Help,www.youtube.com/watch?v=_ZlZH4b0C44,SAME,YES,TWO HANDS,,,
What,www.youtube.com/watch?v=_ZlZH4b0C44,NOT THE SAME,YES,TWO HANDS,,,
Good,www.youtube.com/watch?v=_ZlZH4b0C44,NOT THE SAME,YES,TWO HANDS,,,
Sick,www.youtube.com/watch?v=_ZlZH4b0C44,SAME,YES,TWO HANDS,,,
Headache,www.youtube.com/watch?v=_ZlZH4b0C44,NOT THE SAME,YES,TWO HANDS,,,
Where,www.youtube.com/watch?v=_ZlZH4b0C44,NOT THE SAME,YES,TWO HANDS,,,
Bad,www.youtube.com/watch?v=_ZlZH4b0C44,NOT THE SAME,YES,ONE HAND,,,
Tired,www.youtube.com/watch?v=_ZlZH4b0C44,NOT THE SAME,YES,TWO HANDS,,,
When,www.youtube.com/watch?v=_ZlZH4b0C44,NOT THE SAME,YES,TWO HANDS,,,
Better,www.youtube.com/watch?v=_ZlZH4b0C44,NOT THE SAME,YES,TWO HANDS,,,
Dizzy,www.youtube.com/watch?v=_ZlZH4b0C44,SAME,YES,TWO HANDS,,,
Cough,www.youtube.com/watch?v=_ZlZH4b0C44,NOT THE SAME,YES,ONE HAND,,,
Medicine,www.youtube.com/watch?v=_ZlZH4b0C44,NOT THE SAME,YES,TWO HANDS,,,
Why?,www.youtube.com/watch?v=_ZlZH4b0C44,NOT THE SAME,YES,ONE HAND,,,
SHOES,www.youtube.com/watch?v=bi9z54FXjR0,NOT THE SAME,YES,TWO HANDS,,,
INTERNET,www.youtube.com/watch?v=p0EkrWFZB_w,SAME,YES,TWO HANDS,,,
SUN-[C-hand-version],www.youtube.com/watch?v=_zPeOLUL8GY,NOT THE SAME,YES,ONE HAND,,,
midnight,www.youtube.com/watch?v=VWjNVjOqtMM,NOT THE SAME,YES,TWO HANDS,,,
midnight,www.youtube.com/watch?v=VWjNVjOqtMM,NOT THE SAME,YES,TWO HANDS,,,
sew,www.youtube.com/watch?v=sPkowY-ajGM,SAME,YES,TWO HANDS,,,
OFTEN (alternative),www.youtube.com/watch?v=hpIU_al9exU,NOT THE SAME,YES,TWO HANDS,,,
LOAN-[borrow,www.youtube.com/watch?v=ETut7byJw3g,SAME,YES,TWO HANDS,,,
GAS-fuel,www.youtube.com/watch?v=OH68aXyug-o,SOMEWHAT THE SAME,YES,TWO HANDS,,,
WATER,www.youtube.com/watch?v=e7_zscB_EVw,SAME,YES,ONE HAND,,,
